id,answer
00001,B
00002,A
00003,C
00004,B
00005,D
00006,D
00007,A
00008,A
00009,B
00010,A
00011,C
00012,B
00013,A
00014,D
00015,B
00016,B
00017,D
00018,D
00019,D
00020,C
00021,B
00022,D
00023,A
00024,D
00025,B
00026,D
00027,C
00028,A
00029,A
00030,B
00031,C
00032,B
00033,C
00034,B
00035,C
00036,B
00037,D
00038,B
00039,B
00040,B
00041,B
00042,B
00043,A
00044,A
00045,C
00046,B
00047,D
00048,D
00049,B
00050,D
00051,D
00052,D
00053,D
00054,D
00055,D
00056,D
00057,D
00058,D
00059,D
00060,D
00061,D
00062,D
00063,D
00064,D
00065,D
00066,D
00067,D
00068,D
00069,D
00070,D
00071,D
00072,D
00073,D
00074,D
00075,D
00076,D
00077,D
00078,D
00079,D
00080,D
00081,D
00082,D
00083,D
00084,D
00085,D
00086,D
00087,D
00088,D
00089,D
00090,D
00091,D
00092,D
00093,D
00094,D
00095,D
00096,D
00097,D
00098,D
00099,D
00100,D
00101,D
00102,D
00103,D
00104,D
00105,D
00106,D
00107,D
00108,D
00109,D
00110,D
00111,D
00112,D
00113,D
00114,D
00115,D
00116,D
00117,D
00118,D
00119,D
00120,D
00121,D
00122,D
00123,D
00124,D
00125,D
00126,D
00127,D
00128,D
00129,D
00130,D
00131,D
00132,D
00133,D
00134,D
00135,D
00136,D
00137,D
00138,D
00139,D
00140,D
00141,D
00142,D
00143,D
00144,D
00145,D
00146,D
00147,D
00148,D
00149,D
00150,D
00151,D
00152,D
00153,D
00154,D
00155,D
00156,D
00157,D
00158,D
00159,D
00160,D
00161,D
00162,D
00163,D
00164,D
00165,D
00166,D
00167,D
00168,D
00169,D
00170,D
00171,D
00172,D
00173,D
00174,D
00175,D
00176,D
00177,D
00178,D
00179,D
00180,D
00181,D
00182,D
00183,D
00184,D
00185,D
00186,D
00187,D
00188,D
00189,D
00190,D
00191,D
00192,D
00193,D
00194,D
00195,D
00196,D
00197,D
00198,D
00199,D
00200,D
00201,D
00202,D
00203,D
00204,D
00205,D
00206,D
00207,D
00208,D
00209,D
00210,D
00211,D
00212,D
00213,D
00214,D
00215,D
00216,D
00217,D
00218,D
00219,D
00220,D
00221,D
00222,D
00223,D
00224,D
00225,D
00226,D
00227,D
00228,D
00229,D
00230,D
00231,D
00232,D
00233,D
00234,D
00235,D
00236,D
00237,D
00238,D
00239,D
00240,D
00241,D
00242,D
00243,D
00244,D
00245,D
00246,D
00247,D
00248,D
00249,D
00250,D
00251,D
